Metric,Value
Initial Capital,100000.0
Final Equity,98291.2564810247
Total Return,-1.71%
Total Trades,8
Winning Trades,0
Losing Trades,0
Win Rate,0.00%
Profit Factor,inf
Sharpe Ratio,0.014364289394381058
Sortino Ratio,0.010996081334098505
Max Drawdown,-30.53%
Annualized Return,-1.71%
